word	count
the	141158
and	117709
of	78450
a	69875
to	69646
I	45303
in	45297
it	41615
was	39322
that	38124
he	25165
is	24303
for	21601
his	20664
with	20637
you	18591
had	16831
not	16764
but	16121
as	15663
on	13789
The	13039
at	12873
have	12715
all	12658
him	12651
be	12639
they	11523
by	11247
this	11241
one	10555
her	10394
we	10223
me	10167
so	9894
were	9890
would	9644
my	9497
out	9337
from	9269
or	8844
there	8534
up	8533
them	8365
said	8348
an	8226
no	8151
It	7998
which	7854
she	7854
are	7811
He	7601
when	6958
could	6821
will	6686
about	6400
their	6268
if	6250
been	6167
do	6129
time	6090
then	5981
any	5145
what	5141
has	5108
now	5077
down	4887
see	4836
But	4706
more	4665
other	4541
man	4495
who	4445
know	4417
its	4412
like	4409
into	4286
And	4271
did	4216
upon	4199
some	4196
your	4154
got	4111
good	4109
made	3998
two	3964
little	3931
We	3927
never	3878
way	3867
only	3864
can	3861
our	3832
us	3761
over	3751
get	3702
go	3659
day	3480
before	3454
these	3454
than	3423
very	3362
old	3345
thing	3262
again	3193
just	3160
come	3134
say	3068
They	3061
make	3039
A	3002
went	2993
great	2988
came	2966
away	2921
such	2898
long	2892
here	2887
think	2777
people	2765
through	2701
There	2697
after	2690
too	2685
years	2675
how	2673
am	2651
don't	2641
back	2625
ever	2597
always	2581
where	2557
In	2544
well	2535
You	2524
every	2522
first	2517
right	2461
last	2453
She	2375
must	2360
take	2353
without	2346
much	2275
nothing	2263
most	2248
those	2233
off	2229
another	2225
place	2222
This	2207
Then	2200
three	2183
himself	2174
things	2157
because	2071
should	2065
took	2052
put	2046
men	2035
still	2034
going	2020
Mr	2007
around	1998
night	1994
many	1989
Tom	1981
along	1980
life	1973
Well	1958
hundred	1929
work	1907
done	1893
own	1878
head	1874
enough	1868
thought	1860
When	1854
If	1851
same	1847
tell	1824
under	1810
found	1806
No	1806
yet	1803
says	1801
world	1790
let	1786
even	1766
shall	1766
may	1751
days	1749
find	1714
saw	1707
being	1706
look	1691
mind	1688
might	1687
while	1680
once	1675
That	1654
What	1628
anything	1575
hand	1561
didn't	1552
house	1542
matter	1541
new	1534
left	1524
give	1520
course	1509
home	1475
something	1471
next	1446
Now	1439
young	1421
name	1420
told	1397
So	1388
half	1387
poor	1372
Yes	1372
seen	1352
began	1349
also	1344
knew	1324
New	1311
face	1296
Oh	1295
moment	1274
feet	1272
Why	1264
whole	1261
want	1261
keep	1251
thousand	1236
heart	1235
kind	1232
better	1218
myself	1216
hands	1214
end	1212
heard	1209
set	1203
till	1201
does	1199
To	1190
word	1188
Mrs	1184
each	1175
gone	1174
eyes	1165
seemed	1165
ago	1164
far	1163
book	1155
looked	1151
